psyradio * fm - chillout,http://streamer.psyradio.org:8020/;listen.mp3,,
Caprice - Suomisaundi,http://79.120.77.11:8004/suomisaundi,,
Chillout (Groove Salad - SomaFM),http://somafm.com/startstream=groovesalad.pls,,
Soma FM Space,http://ice.somafm.com/spacestation,,
Soma FM Deep Space, http://ice.somafm.com/deepspaceone,,
SomaFM: Goa Psychill,http://ice3.somafm.com/suburbsofgoa-128-mp3,,
Caprice Liquid funk, http://79.111.119.111:9115/,,
Dubplate.fm,https://sc2.dubplate.fm/radio/8030/dnb/uhifi,,
Liqui Radio,https://stream-162.zeno.fm/ug59eq099yzuv?zs=zaqVusVSQuWMN3O5gnh8xA,,
Boris Brejcha,https://live.radiospinner.com/brsbrjch-96,,
Acid Techno,https://radiorecord.hostingradio.ru/techno96.aacp,,
Magnathospere Morning,https://listen7.myradio24.com/magnatos,,
ToXoRs minimalRADIO (320k),http://95.216.245.239:8000/stream/1/,,
minimalradio.de,https://azurafallback.de:8010/320.mp3,,
Technolovers - minimal,https://stream.technolovers.fm/minimal,,
Full-on psytrance,http://79.111.14.76:9019/,,
PsyndoraTrance,http://cast.magicstreams.gr:9111/stream/,,
Hirschmilch Psytrance,https://hirschmilch.de:7001/psytrance.mp3,,
Bluffphonica,http://bluffphonica.stream.laut.fm/bluffphonica?pl=m3u&amp;t302=2024-09-17_23-09-40&amp;uuid=ce6a1b0b-1654-4d08-afbc-31b028f8f23b,,
1.FM - BOM Psytrance Radio,http://strm112.1.fm/psytrance_mobile_mp3,,
Vasilis Cfu psy trance,https://stream-40.zeno.fm/c2t7d9p6mf9uv?zs=_D-E0xBPQcGB_V9n7LLuqA,,
TL_Psytrance,https://stream.technolovers.fm/psytrance,,
Record Goa Psy,https://radiorecord.hostingradio.ru/goa96.aacp,,
Anima Amoris [Goa Psy Trance],http://amoris.sknt.ru/goa.mp3,,
DMT FM Psytrance 24/7,https://dc1.serverse.com/proxy/ywycfrxn/live,,
radiOzora Trance,http://trance.out.airtime.pro:8000/trance_a,,
Psyndora Psytrance,http://cast.magicstreams.gr:9111/stream,,
Alternative (BAGeL Radio),https://ais-sa3.cdnstream1.com/2606_128.aac,,
Celtic (ThistleRadio - SomaFM),http://somafm.com/thistle.pls,,
Groove Salad Classic (Early 2000s Ambient),https://somafm.com/gsclassic.pls,,
n5MD Radio (Ambient and Experimental),https://somafm.com/n5md.pls,,
Vaporwaves [SomaFM],https://somafm.com/vaporwaves.pls,,
Commodore 64 Remixes (Slay Radio),http://www.slayradio.org/tune_in.php/128kbps/listen.m3u,,
Covers (SomaFM),http://somafm.com/covers.pls,,
Downtempo (Secret Agent - SomaFM),http://somafm.com/secretagent.pls,,
Dub Step (Dub Step Beyond - SomaFM),http://somafm.com/dubstep.pls,,
Electronic/Dance (Electronic Culture),http://www.shouted.fm/tunein/electro-dsl.m3u,,
House (Beat Blender - SomaFM),http://somafm.com/startstream=beatblender.pls,,
Indie Pop (Indie Pop Rocks! - SomaFM),http://somafm.com/indiepop130.pls,,
Intelligent dance music (Cliq Hop - SomaFM),http://somafm.com/startstream=cliqhop.pls,,
Jazz (Sonic Universe - SomaFM),http://somafm.com/startstream=sonicuniverse.pls,,
Lounge (Illinois Street Lounge - SomaFM),http://somafm.com/illstreet.pls,,
The Trip: [SomaFM],https://somafm.com/thetrip.pls,,
Pop (PopTron! - SomaFM),http://somafm.com/poptron.pls,,
Pop/Rock/Urban  (Frequence 3 - Paris),http://streams.frequence3.net/hd-mp3.m3u,,
Progressive (Tags Trance Trip - SomaFM),http://somafm.com/tagstrance.pls,,
Public Radio (NPR National Public Radio Stream),https://npr-ice.streamguys1.com/live.mp3,,
Reggae Dancehall (Ragga Kings),https://raggakings.radio:8443/stream.ogg,,
Heavyweight Reggae,https://somafm.com/reggae.pls,,
Rock (Digitalis - SomaFM),http://somafm.com/digitalis.pls,,
Metal Detector,https://somafm.com/metal.pls,,
DanceUK,https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://uk2.internet-radio.com:8024/listen.pls&t=.pls,,
JazzGroove,https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://199.180.72.2:8015/listen.pls?sid=1&t=.pls,,
Radio Paradise - Main Mix,http://stream.radioparadise.com/aac-128,,
Radio Paradise - Mellow Mix,http://stream.radioparadise.com/mellow-128,,
Radio Paradise - Rock Mix,http://stream.radioparadise.com/rock-128,,
Radio Paradise - Eclectic Mix,http://stream.radioparadise.com/eclectic-128,,
Echoes of Bluemars,http://streams.echoesofbluemars.org:8000/bluemars.m3u,,
Echoes of Bluemars - Cryosleep,http://streams.echoesofbluemars.org:8000/cryosleep.m3u,,
Echoes of Bluemars - Voices from Within,http://streams.echoesofbluemars.org:8000/voicesfromwithin.m3u,,
Synphaera Radio (Space Music),https://somafm.com/synphaera.pls,,
